//TABELA COM CÓDIGO IBGE ATUALIZADO DE ACORDO COM TABELA SPEED FISCAL...
UF|MUNICIPIO               |CEP     |IBGE
BA|Caldeirão                |48955000|0000000
BA|Caldeirão Grande         |44750000|2905503
BA|Caldeiras                |46420000|0000000
BA|Camacan                  |45880000|2905602
BA|Camaçari                 |00000000|2905701
BA|Camamu                   |45445000|2905800
BA|Camassandi               |44482000|0000000
BA|Camirim                  |44860000|0000000
BA|Campinhos                |44215000|0000000
BA|Campo Alegre de Lourdes  |47220000|2905909
BA|Campo Formoso            |44935000|2906006
BA|Campo Formoso            |44790000|2906006
BA|Camurugi                 |45434000|0000000
BA|Canabravinha             |46195000|0000000
BA|Canápolis                |47730000|2906105
BA|Canarana                 |44890000|2906204
BA|Canatiba                 |46510000|0000000
BA|Canavieiras              |45860000|2906303
BA|Canché                   |48560000|0000000
BA|Candeal                  |48710000|2906402
BA|Candeias                 |00000000|2906501
BA|Candiba                  |46380000|2906600
BA|Cândido Sales            |45157000|2906709
BA|Canoão                   |44965000|0000000
BA|Cansanção                |48840000|2906808
BA|Canto do Sol             |42830000|0000000
BA|Canudos                  |48520000|2906824
BA|Canudos                  |44889000|2906824
BA|Capão                    |45495000|0000000
BA|Capela do Alto Alegre    |44645000|2906857
BA|Capim Grosso             |44695000|2906873
BA|Caraguataí               |46680000|0000000
BA|Caraíbas                 |45177000|2906899
BA|Caraibuna                |46630000|0000000
BA|Caraípe                  |44555000|0000000
BA|Caraiva                  |45819000|0000000
BA|Caravelas                |45900000|2906907
BA|Cardeal da Silva         |48390000|2907004
BA|Carinhanha               |46445000|2907103
BA|Caripare                 |47980000|0000000
BA|Carnaíba do Sertão       |48922000|0000000
BA|Carrapichel              |48985000|0000000
BA|Casa Nova                |47300000|2907202
BA|Castelo Novo             |45667000|0000000
BA|Castro Alves             |44500000|2907301
BA|Catinga do Moura         |44704000|0000000
BA|Catingal                 |45245000|0000000
BA|Catolândia               |47815000|2907400
BA|Catolés                  |46695000|0000000
BA|Catolezinho              |45145000|0000000
BA|Catu                     |48110000|2907509
BA|Catu de Abrantes         |42841000|0000000
BA|Caturama                 |46575000|2907558
BA|Cavunge                  |44685000|0000000
BA|Central                  |44940000|2907608
BA|Ceraima                  |46433000|0000000
BA|Chorrochó                |48660000|2907707
BA|Cícero Dantas            |48410000|2907806
BA|Cinco Rios               |43860000|0000000
BA|Cipó                     |48450000|2907905
BA|Coaraci                  |45638000|2908002
BA|Cocos                 |47680000|2908101
BA|Colônia               |45832000|0000000
BA|Comércio              |44545000|0000000
BA|Conceição da Feira    |44320000|2908200
BA|Conceição do Almeida  |44540000|2908309
BA|Conceição do Coité    |48730000|2908408
BA|Conceição do Jacuípe  |44245000|2908507
BA|Conde                 |48300000|2908606
BA|Condeúba              |46200000|2908705
BA|Contendas do Sincorá  |46620000|2908804
BA|Copixaba              |47430000|0000000
BA|Coqueiros             |44430000|0000000
BA|Coquinhos             |45185000|0000000
BA|Coração de Maria      |44250000|2908903
BA|Cordeiros             |46280000|2909000
BA|Coribe                |47690000|2909109
BA|Coronel João Sá       |48590000|2909208
BA|Correntina            |47650000|2909307
BA|Corta Mão             |45301000|0000000
BA|Cotegipe              |47900000|2909406
BA|Coutos                |45664000|0000000
BA|Cravolândia           |45330000|2909505
BA|Crisópolis            |48480000|2909604
BA|Cristalândia          |46108000|0000000
BA|Cristópolis           |47950000|2909703
BA|Crussaí               |44505000|0000000
BA|Cruz das Almas        |44380000|2909802
BA|Cumuruxatiba          |45983000|0000000
BA|Cunhangi              |44488000|0000000
BA|Curaçá                |48930000|2909901
BA|Curral Falso          |48403000|0000000
BA|Dário Meira           |45590000|2910008
BA|Delfino               |44795000|0000000
BA|Descoberto            |47695000|0000000
BA|Dias Coelho           |44855000|0000000
BA|Dias D'Ávila          |42850000|2910057
BA|Diógenes Sampaio      |45302000|0000000
BA|Dom Basílio           |46165000|2910107
BA|Dom Macedo Costa      |44560000|2910206
BA|Dona Maria            |48473000|0000000
BA|Duas Barras do Morro  |44865000|0000000
BA|Elísio Medrado        |45305000|2910305
BA|Encruzilhada          |45150000|2910404
BA|Engenheiro França     |45312000|0000000
BA|Engenheiro Pontes     |45498000|0000000
BA|Entre Rios            |48180000|2910503
BA|Érico Cardoso         |46180000|2900504
BA|Esplanada             |48370000|2910602
BA|Euclides da Cunha     |48500000|2910701
BA|Eunápolis             |00000000|2910727
BA|Fátima                |48415000|2910750
BA|Feira da Mata         |46446000|2910776
BA|Feira de Santana      |00000000|2910800
BA|Ferradas              |00000000|0000000
BA|Filadélfia            |44775000|2910859
BA|Filanésia             |45358000|0000000
BA|Firmino Alves         |45720000|2910909
BA|Floresta Azul         |45740000|2911006
BA|Formosa do Rio Preto  |47990000|2911105
BA|França                           |44837000|0000000
BA|Gabiarra                         |45831000|0000000
BA|Galeão                           |45422000|0000000
BA|Gamboa                           |45424000|0000000
BA|Gameleira da Lapa                |47620000|0000000
BA|Gameleira do Assuruá             |47470000|0000000
BA|Gandu                            |45450000|2911204
BA|Gavião                           |44650000|2911253
BA|Gentio do Ouro                   |47450000|2911303
BA|Geolândia                        |44349000|0000000
BA|Glória                           |48610000|2911402
BA|Gongogi                          |45540000|2911501
BA|Governador João Durval Carneiro  |44130000|0000000
BA|Governador Lomanto Junior        |45625000|0000000
BA|Governador Mangabeira            |44350000|2911600
BA|Guagirus                         |42837000|0000000
BA|Guaí                             |44423000|0000000
BA|Guajeru                          |46205000|2911659
BA|Guanambi                         |46430000|2911709
BA|Guapira                          |44425000|0000000
BA|Guarajuba                        |42827000|0000000
BA|Guaratinga                       |45840000|2911808
BA|Guerém                           |45413000|0000000
BA|Guiné                            |46753000|0000000
BA|Guirapa                          |46370000|0000000
BA|Gurupá Mirim                     |45795000|0000000
BA|Heliópolis                       |48445000|2911857
BA|Helvecia                         |45923000|0000000
BA|Hidrolândia                      |44955000|0000000
BA|Humildes                         |44135000|0000000
BA|Iaçu                             |46860000|2911907
BA|Ibatui                           |48185000|0000000
BA|Ibiaçu                           |45523000|0000000
BA|Ibiajara                         |46560000|0000000
BA|Ibiapora                         |44825000|0000000
BA|Ibiassucê                        |46390000|2912004
BA|Ibicaraí                         |45745000|2912103
BA|Ibicoara                         |46760000|2912202
BA|Ibicuí                           |45290000|2912301
BA|Ibipeba                          |44970000|2912400
BA|Ibipetum                         |47595000|0000000
BA|Ibipitanga                       |46540000|2912509
BA|Ibiquera                         |46840000|2912608
BA|Ibiraba                          |47110000|0000000
BA|Ibirajá                          |45972000|0000000
BA|Ibiranhém                        |45938000|0000000
BA|Ibirapitanga                     |45500000|2912707
BA|Ibirapuã                         |45940000|2912806
BA|Ibirataia                        |45580000|2912905
BA|Ibitiara                         |46700000|2913002
BA|Ibitiguira                       |45378000|0000000
BA|Ibitira                          |46225000|0000000
BA|Ibititá                          |44960000|2913101
BA|Ibitunane                        |47480000|0000000
BA|Ibitupa                          |45298000|0000000
BA|Ibó                              |48685000|0000000
BA|Ibotirama                        |47520000|2913200
BA|Ichu                             |48725000|2913309
BA|Icó                              |44852000|0000000
BA|Igaporã            |46490000|2913408
BA|Igará              |48975000|0000000
BA|Igarité            |47105000|0000000
BA|Igatu              |46834000|0000000
BA|Igrapiúna          |45443000|2913457
BA|Iguá               |45105000|0000000
BA|Iguaí              |45280000|2913507
BA|Iguaibi            |45285000|0000000
BA|Iguatemi           |46150000|0000000
BA|Iguira             |47410000|0000000
BA|Iguitu             |44975000|0000000
BA|Ilha de Mare       |42500000|0000000
BA|Ilhéus             |00000000|2913606
BA|Indaí              |44810000|0000000
BA|Inema              |45669000|0000000
BA|Inhambupe          |48490000|2913705
BA|Inhata             |44235000|0000000
BA|Inhaúmas           |47648000|0000000
BA|Inhobim            |45110000|0000000
BA|Inúbia             |46766000|0000000
BA|Ipecaetá           |44680000|2913804
BA|Ipiaú              |45570000|2913903
BA|Ipirá              |44600000|2914000
BA|Ipiúna             |45347000|0000000
BA|Ipucaba            |47550000|0000000
BA|Ipupiara           |47590000|2914109
BA|Irajuba            |45370000|2914208
BA|Iramaia            |46770000|2914307
BA|Iraporanga         |46985000|0000000
BA|Iraquara           |46980000|2914406
BA|Irará              |44255000|2914505
BA|Irecê              |44900000|2914604
BA|Irundiara          |46315000|0000000
BA|ItaAzul            |45838000|0000000
BA|Itabatã            |45936000|0000000
BA|Itabela            |45848000|2914653
BA|Itaberaba          |46880000|2914703
BA|Itabuna            |00000000|2914802
BA|Itacaré            |45530000|2914901
BA|Itacava            |44253000|0000000
BA|Itachama           |45303000|0000000
BA|Itacimirim         |42823000|0000000
BA|Itaeté             |46790000|2915007
BA|Itagi              |45230000|2915106
BA|Itagibá            |45585000|2915205
BA|Itagimirim         |45850000|2915304
BA|Itaguaçu da Bahia  |47440000|2915353
BA|Itaia              |45723000|0000000
BA|Itaibó             |45213000|0000000
BA|Itaipu             |45116000|0000000
